ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Latitude,Longitude,Location
11834304,JC440338,2019-09-19 18:15:00,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,833,8,18.0,65.0,06,2019,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
12922467,JF510043,2022-11-24 11:00:00,025XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,0,0,1414,14,32.0,22.0,06,2022,41.927102229,-87.704192177,"(41.927102229, -87.704192177)"
12019345,JD197080,2020-03-28 18:20:00,012XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1224,12,27.0,28.0,07,2020,41.88549055,-87.657670994,"(41.88549055, -87.657670994)"
12008294,JD184375,2019-06-22 12:41:00,113XX S FOREST AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,0,0,531,5,9.0,49.0,26,2019,41.688432099,-87.615682144,"(41.688432099, -87.615682144)"
11849499,JC459023,2019-10-03 17:00:00,003XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,OTHER,0,0,1523,15,37.0,25.0,08A,2019,41.886393351,-87.765080772,"(41.886393351, -87.765080772)"
11675928,JC249454,2019-05-03 15:00:00,005XX W BELMONT AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,0,0,1925,19,44.0,6.0,08B,2019,41.940076135,-87.642473797,"(41.940076135, -87.642473797)"
13379840,JH165627,2024-02-25 19:00:00,030XX W 47TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,922,9,14.0,58.0,04A,2024,41.808186945,-87.699961445,"(41.808186945, -87.699961445)"
12618374,JF144831,2022-02-13 01:00:00,065XX N OLIPHANT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,0,0,1612,16,41.0,9.0,05,2022,41.999281737,-87.819684753,"(41.999281737, -87.819684753)"
12857881,JF432779,2022-10-13 00:00:00,106XX S OGLESBY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,434,4,7.0,51.0,08B,2022,41.701821396,-87.565123275,"(41.701821396, -87.565123275)"
12132558,JD328777,2020-08-10 22:00:00,069XX S HONORE ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,0,0,735,7,17.0,67.0,26,2020,41.767528356,-87.669958503,"(41.767528356, -87.669958503)"
13360702,JH142676,2024-02-06 17:15:00,004XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,LIBRARY,1,1,113,1,4.0,32.0,08B,2024,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
11709046,JC289680,2019-06-03 00:34:00,039XX W 49TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,1,0,821,8,14.0,57.0,15,2019,41.804235721,-87.721324709,"(41.804235721, -87.721324709)"
11986423,JD158227,2020-02-20 01:55:00,033XX W 15TH ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,0,0,1021,10,24.0,29.0,07,2020,41.860874729,-87.709592063,"(41.860874729, -87.709592063)"
12960864,JG126114,2023-01-22 19:00:00,055XX S KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,813,8,13.0,62.0,07,2023,41.792235865,-87.73293882,"(41.792235865, -87.73293882)"
11694446,JC271988,2019-05-16 12:00:00,065XX S TALMAN AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),0,0,831,8,17.0,66.0,06,2019,41.774789128,-87.689625516,"(41.774789128, -87.689625516)"
12219335,JD429128,2020-11-12 01:20:00,015XX E 67TH ST,0610,BURGLARY,FORCIBLE ENTRY,OTHER (SPECIFY),0,0,321,3,5.0,42.0,05,2020,41.773315928,-87.588018999,"(41.773315928, -87.588018999)"
12582085,JF100278,2022-01-01 05:10:00,044XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,GAS STATION,1,0,2524,25,31.0,20.0,06,2022,41.924350021,-87.738213231,"(41.924350021, -87.738213231)"
11578160,JC130892,2019-01-26 21:19:00,0000X S MASON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1513,15,29.0,25.0,08B,2019,41.879783007,-87.773012281,"(41.879783007, -87.773012281)"
12392061,JE262879,2021-06-12 02:35:00,051XX N CALIFORNIA AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,1,0,2031,20,40.0,4.0,08B,2021,41.975151721,-87.698898226,"(41.975151721, -87.698898226)"
13157873,JG361699,2023-07-30 05:38:00,057XX S RICHMOND ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,0,0,824,8,15.0,63.0,15,2023,41.788992576,-87.697326916,"(41.788992576, -87.697326916)"
12406286,JE280642,2021-06-26 20:50:00,0000X E WACKER DR,0890,THEFT,FROM BUILDING,RESTAURANT,0,0,111,1,42.0,32.0,06,2021,41.887765041,-87.625696039,"(41.887765041, -87.625696039)"
12319127,JE173746,2021-03-19 19:35:00,001XX N CLINTON ST,0820,THEFT,$500 AND UNDER,DRUG STORE,0,0,121,1,42.0,28.0,06,2021,41.883490965,-87.641243905,"(41.883490965, -87.641243905)"
12076426,JD262203,2020-06-12 14:35:00,004XX E BOWEN AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,0,0,214,2,3.0,38.0,06,2020,41.819351842,-87.61569704,"(41.819351842, -87.61569704)"
13298010,JG529083,2023-12-05 00:54:00,013XX N CENTRAL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,2531,25,29.0,25.0,15,2023,41.90507952,-87.765760013,"(41.90507952, -87.765760013)"
13145934,JG346896,2023-07-19 00:55:00,034XX N HALSTED ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,1,1925,19,44.0,6.0,08B,2023,41.943948446,-87.649386514,"(41.943948446, -87.649386514)"
13065693,JG251602,2023-05-07 10:00:00,023XX W JARVIS AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),0,0,2411,24,50.0,2.0,26,2023,42.015654607,-87.689285081,"(42.015654607, -87.689285081)"
12725211,JF274018,2022-06-10 00:39:00,011XX W 63RD ST,0560,ASSAULT,SIMPLE,GAS STATION,1,0,724,7,16.0,68.0,08A,2022,41.779618399,-87.653767961,"(41.779618399, -87.653767961)"
13533256,JH351424,2024-07-17 21:28:00,102XX S OGLESBY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,0,1,431,4,7.0,51.0,04A,2024,41.709430002,-87.565735866,"(41.709430002, -87.565735866)"
11701831,JC280911,2019-05-27 17:25:00,077XX S EXCHANGE AVE,0560,ASSAULT,SIMPLE,APARTMENT,0,1,421,4,7.0,43.0,08A,2019,41.755179375,-87.555794049,"(41.755179375, -87.555794049)"
11850502,JC460125,2019-10-02 20:00:00,071XX S SPAULDING AVE,0810,THEFT,OVER $500,RESIDENCE,0,1,831,8,17.0,66.0,06,2019,41.763552567,-87.705238983,"(41.763552567, -87.705238983)"
13437770,JH235591,2024-04-23 01:45:00,080XX S BRANDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,422,4,7.0,46.0,14,2024,41.749648734,-87.546794487,"(41.749648734, -87.546794487)"
11710803,JC291725,2019-06-04 13:30:00,126XX S HALSTED ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,0,0,523,5,34.0,53.0,08A,2019,41.664294511,-87.641455374,"(41.664294511, -87.641455374)"
11866262,JC479077,2019-10-19 21:37:00,066XX S HALSTED ST,0560,ASSAULT,SIMPLE,APARTMENT,0,0,723,7,6.0,68.0,08A,2019,41.773054421,-87.644613656,"(41.773054421, -87.644613656)"
13626105,JH462827,2024-10-10 09:00:00,009XX E 77TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,624,6,8.0,69.0,07,2024,41.754966423,-87.602363348,"(41.754966423, -87.602363348)"
13557267,JH379998,2024-08-06 14:30:00,097XX S GREEN ST,0560,ASSAULT,SIMPLE,SIDEWALK,0,0,2223,22,21.0,73.0,08A,2024,41.716849131,-87.644302037,"(41.716849131, -87.644302037)"
12281241,JE125675,2021-01-25 13:00:00,009XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,0,0,1833,18,42.0,8.0,06,2021,41.899410159,-87.624131266,"(41.899410159, -87.624131266)"
